# Constructed from biom file
#OTU ID	G12MB13	G12MB10	G2MB7	G12MB2	AGMB6	G12MB17	G2MB14	G12MB7	G2MB6	URGMB11	G2MB12	URGMB13	URGMB12	G2MB9	G2MB11	G12MB14	URGMB2	G2MB3	URGMB5	G12MB3	G2MB13	G12MB11	G2MB10	G12MB4	URGMB4	URGMB6	G12MB1	G2MB15	URGMB14	AGMB2	AGMB7	URGMB3	FRCMB4	AGMB1	FRCMB1	AGMB5	G12MB5	G12MB16	G2MB4	G2MB8	G2MB2	URGMB8	URGMB7	G12MB9	URGMB9	AGMB3	G12MB6	G12MB8	FRCMB2	URGMB10	FRCMB3	AGMB4	URGMB1	FRCMB5	G2MB1
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	930.0	462.0	2135.0	4016.0	591.0	612.0	301.0	579.0	193.0	1396.0	508.0	548.0	258.0	1407.0	641.0	665.0	496.0	1198.0	543.0	862.0	612.0	1292.0	343.0	702.0	914.0	1197.0	1256.0	50.0	197.0	571.0	283.0	682.0	0.0	860.0	0.0	412.0	752.0	25.0	189.0	905.0	1128.0	279.0	885.0	109.0	493.0	1675.0	882.0	230.0	0.0	41.0	0.0	357.0	343.0	1347.0	1057.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.0	1.0	7.0	1.0	0.0	0.0	8.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	8.0	1.0	0.0	0.0	4.0	0.0	11.0	0.0	3.0	0.0	1.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	3.0	1.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	9468.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	280.0	198.0	661.0	400.0	53.0	234.0	309.0	333.0	96.0	392.0	392.0	228.0	94.0	197.0	232.0	249.0	135.0	308.0	206.0	208.0	235.0	270.0	147.0	136.0	245.0	268.0	320.0	111.0	121.0	270.0	150.0	165.0	105.0	91.0	134.0	132.0	339.0	206.0	112.0	225.0	156.0	147.0	241.0	53.0	155.0	259.0	248.0	29.0	30.0	1845.0	1350.0	288.0	162.0	247.0	355.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales	0.0	0.0	3.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales	0.0	0.0	41.0	0.0	0.0	4.0	33.0	2.0	1.0	1.0	0.0	1.0	1.0	12.0	1.0	4.0	0.0	0.0	3.0	0.0	26.0	0.0	14.0	0.0	0.0	6.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	32.0	491.0	141.0	64.0	198.0	154.0	54.0	158.0	775.0	713.0	176.0	274.0	1156.0	3192.0	217.0	324.0	238.0	683.0	1171.0	70.0	306.0	123.0	585.0	44.0	377.0	617.0	47.0	503.0	292.0	143.0	296.0	515.0	361.0	21.0	901.0	1083.0	1757.0	65.0	189.0	2906.0	58.0	212.0	1255.0	303.0	238.0	182.0	1208.0	186.0	382.0	156.0	9925.0	113.0	268.0	112.0	233.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	1.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__	0.0	0.0	3.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
