# Constructed from biom file
#OTU ID	G12MB13	G12MB10	G2MB7	G12MB2	AGMB6	G12MB17	G2MB14	G12MB7	G2MB6	URGMB11	G2MB12	URGMB13	URGMB12	G2MB9	G2MB11	G12MB14	URGMB2	G2MB3	URGMB5	G12MB3	G2MB13	G12MB11	G2MB10	G12MB4	URGMB4	URGMB6	G12MB1	G2MB15	URGMB14	AGMB2	AGMB7	URGMB3	FRCMB4	AGMB1	FRCMB1	AGMB5	G12MB5	G12MB16	G2MB4	G2MB8	G2MB2	URGMB8	URGMB7	G12MB9	URGMB9	AGMB3	G12MB6	G12MB8	FRCMB2	URGMB10	FRCMB3	AGMB4	URGMB1	FRCMB5	G2MB1
k__Archaea;p__Euryarchaeota	930.0	462.0	2135.0	4016.0	591.0	612.0	301.0	579.0	193.0	1396.0	508.0	548.0	258.0	1407.0	641.0	665.0	496.0	1198.0	543.0	862.0	612.0	1292.0	343.0	702.0	914.0	1197.0	1256.0	50.0	197.0	571.0	283.0	682.0	0.0	860.0	0.0	412.0	752.0	25.0	189.0	905.0	1128.0	279.0	885.0	109.0	493.0	1675.0	882.0	230.0	0.0	41.0	0.0	357.0	343.0	1347.0	1057.0
k__Bacteria;p__Acidobacteria	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	280.0	199.0	712.0	401.0	53.0	239.0	353.0	335.0	97.0	394.0	392.0	230.0	95.0	211.0	241.0	255.0	135.0	308.0	213.0	208.0	272.0	270.0	165.0	136.0	246.0	277.0	320.0	112.0	123.0	271.0	150.0	169.0	105.0	92.0	144.0	133.0	343.0	209.0	113.0	232.0	157.0	149.0	243.0	53.0	156.0	259.0	249.0	29.0	9498.0	1849.0	1351.0	288.0	162.0	247.0	355.0
k__Bacteria;p__Bacteroidetes	33.0	491.0	142.0	66.0	198.0	154.0	54.0	158.0	775.0	713.0	176.0	274.0	1156.0	3192.0	218.0	324.0	238.0	683.0	1171.0	70.0	307.0	123.0	586.0	44.0	377.0	617.0	47.0	504.0	292.0	143.0	296.0	515.0	361.0	21.0	901.0	1083.0	1757.0	65.0	190.0	2907.0	59.0	212.0	1256.0	303.0	238.0	182.0	1208.0	187.0	382.0	156.0	9927.0	114.0	268.0	112.0	234.0
k__Bacteria;p__Chloroflexi	0.0	0.0	3.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria	14.0	5.0	1.0	4.0	11.0	8.0	30.0	3.0	28.0	10.0	7.0	6.0	26.0	6.0	54.0	6.0	41.0	27.0	20.0	7.0	95.0	3.0	64.0	6.0	26.0	15.0	3.0	73.0	21.0	30.0	12.0	18.0	9.0	2.0	13.0	17.0	6.0	7.0	16.0	92.0	15.0	24.0	36.0	67.0	6.0	11.0	4.0	45.0	204.0	2.0	0.0	1.0	15.0	63.0	7.0
k__Bacteria;p__Elusimicrobia	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0
k__Bacteria;p__Firmicutes	42075.0	32686.0	25563.0	28248.0	31617.0	22612.0	33539.0	40343.0	25758.0	31625.0	34953.0	34160.0	22680.0	29381.0	33551.0	17010.0	36014.0	34262.0	29505.0	46697.0	35302.0	25804.0	31854.0	47008.0	34772.0	40997.0	24673.0	27541.0	23811.0	33291.0	35004.0	31450.0	49354.0	25200.0	48271.0	33527.0	32772.0	14111.0	38269.0	33526.0	37563.0	35736.0	26546.0	23040.0	36209.0	36574.0	30037.0	17458.0	33477.0	19432.0	11337.0	28607.0	34019.0	24821.0	37452.0
k__Bacteria;p__Gemmatimonadetes	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria	40.0	53.0	214.0	43.0	216.0	20.0	347.0	62.0	59.0	43.0	27.0	53.0	128.0	115.0	836.0	49.0	35.0	36.0	86.0	36.0	113.0	17.0	110.0	23.0	68.0	29.0	100.0	70.0	50.0	100.0	83.0	45.0	61.0	131.0	114.0	94.0	150.0	16.0	63.0	100.0	26.0	20.0	28.0	64.0	17.0	900.0	86.0	102.0	5.0	165.0	3092.0	65.0	39.0	25.0	13.0
k__Bacteria;p__Spirochaetes	141.0	0.0	0.0	0.0	0.0	656.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.0	0.0	0.0	0.0	0.0	0.0	190.0	0.0	0.0	1.0	1494.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__TM7	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0
k__Bacteria;p__Tenericutes	1383.0	3278.0	1988.0	1825.0	1083.0	3437.0	985.0	1294.0	2774.0	1061.0	1228.0	1612.0	444.0	1255.0	3669.0	978.0	3854.0	2299.0	544.0	3238.0	3969.0	1894.0	2741.0	1770.0	1334.0	1483.0	472.0	566.0	2212.0	2489.0	1185.0	1663.0	10.0	2032.0	235.0	1404.0	1528.0	267.0	334.0	2013.0	184.0	2503.0	3504.0	494.0	1409.0	1839.0	2267.0	236.0	299.0	1.0	1.0	227.0	1481.0	1146.0	762.0
k__Bacteria;p__Verrucomicrobia	3.0	6.0	7.0	5.0	19.0	11.0	1.0	2.0	1.0	28.0	1.0	10.0	44.0	1.0	6.0	0.0	7.0	0.0	25.0	9.0	13.0	9.0	1.0	0.0	3.0	13.0	10.0	1.0	1.0	7.0	20.0	1.0	404.0	3.0	550.0	15.0	43.0	5.0	21.0	30.0	0.0	7.0	8.0	17.0	1.0	3.0	23.0	307.0	7.0	25.0	0.0	2.0	3.0	56.0	1.0
