# Constructed from biom file
#OTU ID	LFG_AM (LFM)	LSG_AM (LSM)	LSG_AFO	LSG_Unknown	LSG_AFY	RSG_AM_2	RSG_AM (RSM)	RSG_SubAM_1	UNKG_Unknown_1	UNKG_Unknown_2	UNKG_Unknown_3	UNKG_Unknown_4	UNKG_Unknown_5	UNKG_Unknown_6	UNKG_Unknown_7	UNKG_Unknown_8	UNKG_Unknown_9	UNKG_Unknown_10	UNKG_Unknown_11	UNKG_Unknown_12	UNKG_Unknown_13	UNKG_Unknown_14	UNKG_Unknown_15	UNKG_Unknown_16	UNKG_Unknown_17	UNKG_Unknown_18	UNKG_Unknown_19	UNKG_Unknown_20	UNKG_Unknown_21	UNKG_Unknown_22	UNKG_Unknown_23	UNKG_Unknown_24	UNKG_Unknown_25	UNKG_Unknown_26	UNKG_Unknown_27	UNKG_Unknown_28	UNKG_Unknown_29	UNKG_Unknown_30	UNKG_Unknown_31	UNKG_Unknown_32
k__Archaea;p__Euryarchaeota;c__Methanobacteria	0.0	5.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	663.0	1981.0	998.0	2420.0	1019.0	588.0	1961.0	163.0	841.0	520.0	1910.0	2155.0	2637.0	848.0	705.0	2567.0	756.0	278.0	184.0	635.0	269.0	108.0	247.0	155.0	206.0	196.0	122.0	546.0	289.0	268.0	180.0	199.0	286.0	382.0	900.0	1004.0	543.0	591.0	732.0	235.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	261.0	2702.0	3492.0	705.0	1255.0	152.0	788.0	149.0	234.0	182.0	369.0	140.0	530.0	382.0	776.0	546.0	1049.0	1891.0	2849.0	2006.0	766.0	3200.0	1162.0	1041.0	416.0	1637.0	734.0	1126.0	1024.0	292.0	534.0	969.0	439.0	836.0	92.0	120.0	360.0	332.0	232.0	166.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	2.0	3.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	1.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	1.0	3.0	1.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2	22.0	91.0	39.0	28.0	38.0	42.0	127.0	10.0	2.0	14.0	37.0	23.0	66.0	20.0	47.0	9.0	33.0	41.0	7.0	33.0	64.0	2.0	5.0	10.0	113.0	33.0	37.0	48.0	12.0	9.0	116.0	3.0	25.0	14.0	48.0	36.0	22.0	48.0	51.0	6.0
k__Bacteria;p__Firmicutes;c__Bacilli	2.0	4125.0	4.0	7.0	0.0	1.0	7.0	22.0	0.0	0.0	2.0	0.0	4.0	2.0	0.0	3.0	2.0	0.0	0.0	2.0	1.0	0.0	3.0	0.0	0.0	15.0	0.0	1.0	0.0	0.0	0.0	1.0	46.0	0.0	3.0	3.0	0.0	1.0	4.0	3.0
k__Bacteria;p__Firmicutes;c__Clostridia	69934.0	221633.0	203386.0	56342.0	120878.0	56391.0	225803.0	55114.0	48139.0	49080.0	72769.0	59889.0	54038.0	58435.0	70837.0	63250.0	52826.0	47692.0	59200.0	57456.0	37681.0	50629.0	66987.0	46476.0	63543.0	69577.0	52304.0	62527.0	56393.0	58298.0	59479.0	55727.0	73621.0	47139.0	61350.0	65424.0	62473.0	59712.0	59092.0	56039.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	53.0	333.0	360.0	114.0	142.0	45.0	354.0	52.0	62.0	101.0	96.0	74.0	43.0	94.0	156.0	115.0	49.0	153.0	191.0	51.0	51.0	100.0	231.0	45.0	38.0	109.0	63.0	82.0	125.0	49.0	75.0	199.0	88.0	30.0	40.0	209.0	55.0	78.0	38.0	47.0
k__Bacteria;p__Firmicutes;c__OPB54	3.0	5.0	2.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	1.0	1.0	0.0	2.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	48.0	82.0	223.0	34.0	114.0	34.0	79.0	32.0	28.0	11.0	31.0	14.0	18.0	21.0	104.0	12.0	22.0	124.0	152.0	17.0	117.0	114.0	98.0	214.0	90.0	147.0	64.0	53.0	60.0	68.0	205.0	47.0	163.0	15.0	25.0	35.0	59.0	56.0	36.0	26.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	54.0	99.0	110.0	46.0	50.0	11.0	70.0	7.0	53.0	22.0	36.0	28.0	32.0	20.0	38.0	16.0	36.0	43.0	40.0	23.0	28.0	22.0	18.0	28.0	33.0	20.0	13.0	53.0	29.0	45.0	54.0	20.0	33.0	19.0	29.0	14.0	35.0	43.0	19.0	8.0
